Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 19:20:38 | Total: $38.97 | Items: Margherita Pizza(x3) | Delivery Time: 45 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 19:42:29 | Total: ₹1750.00 | Items: Butter Chicken(x5) | Delivery Time: 41 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 19:53:39 | Total: ₹80.00 | Items: Vada Pav(x1) | Delivery Time: 41 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 19:57:45 | Total: ₹1400.00 | Items: Butter Chicken(x4) | Delivery Time: 24 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 21:37:41 | Total: ₹900.00 | Items: Masala Dosa(x5) | Delivery Time: 38 minutes
Order ID: 10002 | User ID: 1001 | Date: 2025-11-12 21:44:34 | Total: ₹1400.00 | Items: Biryani(x5) | Delivery Time: 51 minutes
Order ID: 10003 | User ID: 1001 | Date: 2025-11-12 21:52:05 | Total: ₹3.00 | Items: Butter Chicken(x1000) | Delivery Time: 58 minutes
Order ID: 10004 | User ID: 1002 | Date: 2025-11-12 22:05:42 | Total: ₹2000.00 | Items: Chole Bhature(x10) | Delivery Time: 38 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 22:18:51 | Total: ₹100.00 | Items: Samosa(x2) | Delivery Time: 38 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 22:22:09 | Total: ₹150000000.00 | Items: Pav Bhaji(x1000000) | Delivery Time: 58 minutes
Order ID: 10002 | User ID: 1002 | Date: 2025-11-12 22:37:28 | Total: ₹660.00 | Items: Paneer Tikka(x3) | Delivery Time: 29 minutes
Order ID: 10001 | User ID: 1001 | Date: 2025-11-12 22:45:36 | Total: ₹100.00 | Items: Samosa(x2) | Delivery Time: 58 minutes
